N,p(n_i.n_j.n_t.n_k.n_ell.n_p.n_q),d,u_i,e_ijt,c_i,lik,mkp,v_i,h_i,r_iq,t_iq,|N|,|I|,skip^N,skip^I,time^N,time^I,g,CPU(seconds)
33,p(38.30.3.15.16.3.15),2,"[0.7, 0.3]",2,19,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,1,1,0,2,47,28,30,2578
34,p(38.30.3.15.16.3.15),2,"[0.7, 0.3]",2,19,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,2,1,2,1,141,21,30,2390
35,p(38.30.3.15.16.3.15),2,"[0.7, 0.3]",2,19,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,2,1,4,2,133,18,30,2528
36,p(38.30.3.15.16.3.15),2,"[0.7, 0.3]",2,19,"[0.82, 0.09, 0.09]","[0.86, 0.14]","[0.7, 0.3]","[0.7, 0.3]",3,3,2,1,1,0,90,15,30,2653
37,p(38.30.3.15.16.3.15),2,"[0.7, 0.3]",2,19,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,3,1,6,2,144,12,28,2027
38,p(38.30.3.15.16.3.15),2,"[0.7, 0.3]",2,19,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.8, 0.2]","[0.8, 0.2]",3,3,4,1,8,2,100,13,27,1813
39,p(38.30.3.15.16.3.15),2,"[0.7, 0.3]",2,19,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,4,1,8,2,52,11,20,979
40,p(38.30.3.15.16.3.15),2,"[0.7, 0.3]",2,19,"[0.82, 0.09, 0.09]","[0.80, 0.20]","[0.7, 0.3]","[0.7, 0.3]",3,3,2,1,1,1,222,19,30,2463
41,p(38.30.3.15.16.3.15),2,"[0.7, 0.3]",2,19,"[0.78, 0.11, 0.11]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,2,1,2,1,93,65,30,2652
42,p(38.30.3.15.16.3.15),2,"[0.7, 0.3]",2,19,"[0.78, 0.11, 0.11]","[0.86, 0.14]","[0.8, 0.2]","[0.8, 0.2]",3,3,4,1,3,1,187,36,30,2819
